Capacity_kWh,Power_kW,Investment_Yuan,Payback_Years,AnnualSaving_Yuan
5,2,9100,Inf,-1671.5217924845
5,3,9900,Inf,-1681.74674418639
5,5,11500,Inf,-1697.7467441864
10,2,16600,Inf,-2913.38558135282
10,3,17400,Inf,-2923.51099004911
10,5,19000,Inf,-2939.5109900491
10,7,20600,Inf,-2955.51099004908
10,10,23000,Inf,-2979.51099004908
15,2,24100,Inf,-4014.7155149659
15,3,24900,Inf,-4024.86310186531
15,5,26500,Inf,-4040.86310186527
15,7,28100,Inf,-4056.86310186528
15,10,30500,Inf,-4080.86310186528
20,2,31600,Inf,-4892.5815090947
20,3,32400,Inf,-4942.421240398
20,5,34000,Inf,-4958.47936182823
20,7,35600,Inf,-4974.47936182824
20,10,38000,Inf,-4998.47936182825
30,2,46600,Inf,-5923.69836851312
30,3,47400,Inf,-6205.95005494097
30,5,49000,Inf,-6269.27564195849
30,7,50600,Inf,-6285.2756419585
30,10,53000,Inf,-6309.27564195851
40,2,61600,Inf,-6180.71425978067
40,3,62400,Inf,-6684.18404498674
40,5,64000,Inf,-7124.29239435047
40,7,65600,Inf,-7231.60646794589
40,10,68000,Inf,-7255.61884069552
