Capacity_kWh,Power_kW,EquivCycles
5,2,222.694093257462
5,3,223.296023517114
5,5,223.497169509191
10,2,193.584546628741
10,3,193.885511758558
10,5,193.986084754597
10,7,193.987377248386
10,10,193.987377248386
15,2,183.85996775843
15,3,184.060611178305
15,5,184.127659842329
15,7,184.128521504858
15,10,184.128521504857
20,2,171.319991991109
20,3,171.503008699735
20,5,171.567690307635
20,7,171.576669887867
20,10,171.57789750267
30,2,140.330103813673
30,3,145.333979537722
30,5,146.070620500804
30,7,146.12138760285
30,10,146.129565351193
40,2,108.861351741704
40,3,116.195734089381
40,5,121.836494594311
40,7,122.796071534329
40,10,122.817711665424
