Capacity_kWh,Power_kW,AnnualCost_Yuan,SelfUseRate,PeakImport_kW,EquivCycles,Investment_Yuan,Payback_Years,AnnualSaving_Yuan
5,2,-4149.10126933222,0.18177281548923,8.80565265473217,221.813944656714,9100,Inf,-1671.5217924845
5,3,-4146.87631763032,0.181846315497142,8.80565265473217,222.108789435997,9900,Inf,-1681.74674418639
5,5,-4146.87631763032,0.18184631549714,8.80565265473217,222.108789435997,11500,Inf,-1697.7467441864
10,2,-2982.2374804639,0.222717669010222,9.87912830569909,193.144472328367,16600,Inf,-2913.38558135282
10,3,-2980.11207176761,0.222791169018131,10.7678895952929,193.291894718,17400,Inf,-2923.51099004911
10,5,-2980.11207176761,0.222791169018125,12.7238465930676,193.291894718,19000,Inf,-2939.5109900491
10,7,-2980.11207176764,0.222791169018128,14.7047826744446,193.291894718,20600,Inf,-2955.51099004908
10,10,-2980.11207176763,0.222791169018128,15.4095653488891,193.291894718,23000,Inf,-2979.51099004908
15,2,-1955.90754685082,0.263646521012678,10.280745072164,183.566584891514,24100,Inf,-4014.7155149659
15,3,-1953.75995995141,0.263720021020581,11.15403034287,183.6648664846,24900,Inf,-4024.86310186531
15,5,-1953.75995995145,0.26372002102058,13.15403034287,183.664866484599,26500,Inf,-4040.86310186527
15,7,-1953.75995995144,0.26372002102058,15.1309455804168,183.664866484601,28100,Inf,-4056.86310186528
15,10,-1953.75995995144,0.26372002102058,16.2618911608336,183.6648664846,30500,Inf,-4080.86310186528
20,2,-1153.04155272201,0.29876034451503,10.8056526547322,172.920541365907,31600,Inf,-4892.5815090947
20,3,-1111.20182141872,0.298835376516297,11.8056526547322,173.001861618759,32400,Inf,-4942.421240398
20,5,-1111.14369998849,0.2988353765163,13.6114403833922,173.001861618756,34000,Inf,-4958.47936182823
20,7,-1111.14369998847,0.298835376516298,15.6114403833922,173.001861618762,35600,Inf,-4974.47936182824
20,10,-1111.14369998847,0.298835376516298,17.2228807667843,173.001861618759,38000,Inf,-4998.47936182825
30,2,-271.924693303596,0.339164914163673,10.8056526547322,142.219136733844,46600,Inf,-5923.69836851312
30,3,2.32699312425575,0.350245851939218,11.8056526547322,149.631702865259,47400,Inf,-6205.95005494097
30,5,49.6525801417765,0.353145517341586,13.8056526547322,151.570367521832,49000,Inf,-6269.27564195849
30,7,49.6525801417811,0.353145517341587,15.8056526547322,151.570367521836,50600,Inf,-6285.2756419585
30,10,49.6525801417947,0.353145517341586,17.6113053094643,151.570367521834,53000,Inf,-6309.27564195851
40,2,-164.908802036045,0.343435497301364,10.8056526547322,108.749529433273,61600,Inf,-6180.71425978067
40,3,330.560983170019,0.365213130158111,11.8056526547322,119.672668931274,62400,Inf,-6684.18404498674
40,5,754.669332533756,0.386463783919191,13.8056526547322,130.328525467888,64000,Inf,-7124.29239435047
40,7,845.983406129177,0.391477156668791,15.8056526547322,132.842414282074,65600,Inf,-7231.60646794589
40,10,845.995778878798,0.39147715666879,17.6113053094643,132.842414282077,68000,Inf,-7255.61884069552
