Day,ActualDeficit_kWh,PredictedDeficit_kWh,NightChargeFlag,IsTestSet,EVScenario
4,0.0,0.0,False,False,EV-S2 valley delay
5,0.0,0.0,False,False,EV-S2 valley delay
6,0.0,0.0,False,False,EV-S2 valley delay
7,0.0,0.0,False,False,EV-S2 valley delay
8,0.0,0.0,False,False,EV-S2 valley delay
9,0.0,0.0,False,False,EV-S2 valley delay
10,0.0,0.0,False,False,EV-S2 valley delay
11,0.0,0.0,False,False,EV-S2 valley delay
12,0.0,0.0,False,False,EV-S2 valley delay
13,0.0,0.0,False,False,EV-S2 valley delay
14,0.0,0.0,False,False,EV-S2 valley delay
15,0.0,0.0,False,False,EV-S2 valley delay
16,0.0,0.0,False,False,EV-S2 valley delay
17,0.0,0.0,False,False,EV-S2 valley delay
18,0.0,0.0,False,False,EV-S2 valley delay
19,0.0,0.0,False,False,EV-S2 valley delay
20,0.0,0.0,False,False,EV-S2 valley delay
21,0.0,0.0,False,False,EV-S2 valley delay
22,0.0,0.0,False,False,EV-S2 valley delay
23,0.0,0.0,False,False,EV-S2 valley delay
24,0.0,0.0,False,False,EV-S2 valley delay
25,0.0,0.0,False,False,EV-S2 valley delay
26,0.0,0.0,False,False,EV-S2 valley delay
27,0.0,0.0,False,False,EV-S2 valley delay
28,0.0,0.0,False,False,EV-S2 valley delay
29,0.0,0.0,False,False,EV-S2 valley delay
30,0.0,0.0,False,False,EV-S2 valley delay
31,0.0,0.0,False,False,EV-S2 valley delay
32,0.0,0.0,False,False,EV-S2 valley delay
33,0.0,0.0,False,False,EV-S2 valley delay
34,0.0,0.0,False,False,EV-S2 valley delay
35,0.0,0.0,False,False,EV-S2 valley delay
36,0.0,0.0,False,False,EV-S2 valley delay
37,0.0,0.0,False,False,EV-S2 valley delay
38,0.0,0.0,False,False,EV-S2 valley delay
39,0.0,0.0,False,False,EV-S2 valley delay
40,0.0,0.0,False,False,EV-S2 valley delay
41,0.0,0.0,False,False,EV-S2 valley delay
42,0.0,0.0,False,False,EV-S2 valley delay
43,0.0,0.0,False,False,EV-S2 valley delay
44,0.0,0.0,False,False,EV-S2 valley delay
45,0.0,0.0,False,False,EV-S2 valley delay
46,0.0,0.0,False,False,EV-S2 valley delay
47,0.0,0.0,False,False,EV-S2 valley delay
48,0.0,0.0,False,False,EV-S2 valley delay
49,0.0,0.0,False,False,EV-S2 valley delay
50,0.0,0.0,False,False,EV-S2 valley delay
51,0.0,0.0,False,False,EV-S2 valley delay
52,0.0,0.0,False,False,EV-S2 valley delay
53,0.0,0.0,False,False,EV-S2 valley delay
54,0.0,0.0,False,False,EV-S2 valley delay
55,0.0,0.0,False,False,EV-S2 valley delay
56,0.0,0.0,False,False,EV-S2 valley delay
57,0.0,0.0,False,False,EV-S2 valley delay
58,0.0,0.0,False,False,EV-S2 valley delay
59,0.0,0.0,False,False,EV-S2 valley delay
60,0.0,0.0,False,False,EV-S2 valley delay
61,0.0,0.0,False,False,EV-S2 valley delay
62,0.0,0.0,False,False,EV-S2 valley delay
63,0.0,0.0,False,False,EV-S2 valley delay
64,0.0,0.0,False,False,EV-S2 valley delay
65,0.0,0.0,False,False,EV-S2 valley delay
66,0.0,0.0,False,False,EV-S2 valley delay
67,0.0,0.0,False,False,EV-S2 valley delay
68,0.0,0.0,False,False,EV-S2 valley delay
69,0.0,0.0,False,False,EV-S2 valley delay
70,0.0,0.0,False,False,EV-S2 valley delay
71,0.0,0.0,False,False,EV-S2 valley delay
72,0.0,0.0,False,False,EV-S2 valley delay
73,0.0,0.0,False,False,EV-S2 valley delay
74,0.0,0.0,False,False,EV-S2 valley delay
75,0.0,0.0,False,False,EV-S2 valley delay
76,0.0,0.0,False,False,EV-S2 valley delay
