EVScenario,StrategyID,StrategyName,E_buy_year_kWh,E_sell_year_kWh,Cost_year_Yuan,R_self_use,P_grid_peak_kW,N_cycle_per_year,E_bat_charge_year_kWh,E_bat_discharge_year_kWh
EV-S1 home charge,PV_FIRST,PV first,5308.886115358748,20261.18985960339,-5582.566923309502,0.18177281548923954,10.4989191112185,221.81394465671275,1367.832991708171,1109.0697232835637
EV-S1 home charge,TOU_PRICE,TOU price,5441.323051844722,20352.51118036797,-5604.178105833643,0.1780848984570822,10.61144038339217,256.15989069285206,1580.6783376103322,1280.7994534642603
EV-S1 home charge,DAYAHEAD_FORECAST,Rule forecast,5738.843874902976,20647.574610755386,-5563.551857382614,0.16616906717713634,10.80565265473217,257.54461497009004,1590.0593516673684,1287.7230748504503
EV-S1 home charge,ML_FORECAST,ML forecast,5628.310546912078,20542.951160560864,-5569.256336289007,0.17039417694016884,10.4989191112185,252.88461390160305,1560.8494685285425,1264.4230695080153
EV-S2 valley delay,PV_FIRST,PV first,5277.096887104647,20261.18985960339,-6135.1332806258215,0.18177281548923954,8.80565265473217,221.8139446567137,1367.832991708171,1109.0697232835685
EV-S2 valley delay,TOU_PRICE,TOU price,5409.533823590621,20352.51118036797,-6162.327143185368,0.1780848984570822,10.61144038339217,256.1598906928508,1580.6783376103322,1280.7994534642542
EV-S2 valley delay,DAYAHEAD_FORECAST,Rule forecast,5707.054646648876,20647.574610755386,-6134.940512551999,0.16616906717713634,10.80565265473217,257.544614970089,1590.0593516673684,1287.723074850445
EV-S2 valley delay,ML_FORECAST,ML forecast,5650.619666336099,20593.00536208392,-6136.945039279433,0.16837278981192313,10.648184891526448,255.95383325486674,1580.2397114499415,1279.7691662743337
EV-S3 PV surplus,PV_FIRST,PV first,5239.378297326397,20233.708943500762,-6141.3914427885065,0.1828826038464999,8.80565265473217,222.6940932574617,1373.266007762173,1113.4704662873085
EV-S3 PV surplus,TOU_PRICE,TOU price,5371.814972554535,20325.029941724802,-6167.287770771126,0.17919469983980837,10.61144038339217,257.0400915451662,1586.1116762048723,1285.200457725831
EV-S3 PV surplus,DAYAHEAD_FORECAST,Rule forecast,5669.335795612789,20620.09337211222,-6139.540589422733,0.16727886855986254,10.80565265473217,258.4248158224042,1595.4926902619086,1292.124079112021
EV-S3 PV surplus,ML_FORECAST,ML forecast,5579.513166980629,20534.184091222036,-6142.686040106397,0.1707482259625228,10.61144038339217,255.46711932661447,1576.7908600409746,1277.3355966330723
